Gene_Name,Ramadoss_Neuron_1,Ramadoss_Neuron_2,Ramadoss_Neuron_3,Tian_Neuron_1,Tian_Neuron_2,Lisowski_Neuron_1,Lisowski_Neuron_2,Lisowski_Neuron_3,Lisowski_Neuron_4,Lisowski_Neuron_5,Lisowski_Neuron_6,Susco_Neuron_1,Susco_Neuron_2,Susco_Neuron_3,Susco_Neuron_4,Susco_Neuron_5,Rummel_Neuron_1,Ramadoss_iPSC_1,Ramadoss_iPSC_2,Ramadoss_iPSC_3,Lisowski_iPSC1,Lisowski_iPSC2,Lisowski_iPSC3,Susco_iPSC_1,Susco_iPSC_2,Susco_iPSC_3,Susco_iPSC_4,Susco_iPSC_5
A1BG,30,16,28,0,16,18,24,11,8,9,19,116,208,54,3,25,15,0,0,0,4,4,15,254,132,134,188,245
A1CF,4,1,0,1,0,0,0,0,0,0,0,10,14,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
A2M,11,9,3,3,0,2,0,16,30,9,11,6977,12532,1859,740,2140,50,4,1,1,80,50,48,46,51,174,0,37
A2ML1,5,4,3,0,0,0,0,0,0,0,0,23,18,0,4,0,2,2,13,7,292,533,482,349,145,133,180,330
A2MP1,0,4,7,0,0,1,0,0,0,0,0,5,0,0,0,2,11,0,0,1,2,0,5,18,0,0,3,0
A3GALT2,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4GALT,28,19,11,5,22,1,3,6,11,1,1,495,1004,136,80,144,138,23,42,40,98,60,84,55,42,139,76,74
A4GNT,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,111,130,95,12,15,202,295,487,603,279,334,417,679,80,36,134,94,323,420,488,992,575,730,1157,595,720,802,917
AACS,221,298,234,97,182,247,304,307,398,348,366,990,1665,242,78,331,197,334,440,416,1158,1004,1186,1030,900,787,877,724
AACSP1,2,0,0,6,5,0,1,3,5,42,51,14,12,25,2,7,0,0,0,0,114,123,158,25,34,4,11,12
AADAC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,18,40,33,13,0,28,6,10
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
