Gene_Name,BreitmeyerC1R1,BreitmeyerC1R2,BreitmeyerC1R3,BreitmeyerC2R1,BreitmeyerC2R2,BreitmeyerC2R3,GuáquetaR1,GuáquetaR2,GuáquetaR3,GuáquetaR4,Rammonds1,Rammonds2,Rammonds3,Rammonds4,Rammonds5,Penney1,Penney2,Penney3,Penney4,Penney5,Penney6,Ramadoss_Neuron...2,Ramadoss_Neuron...3,Ramadoss_Neuron...4,Tian_Neuron...5,Tian_Neuron...6,Lisowski_Neuron...7,Lisowski_Neuron...8,Lisowski_Neuron...9,Lisowski_Neuron...10,Lisowski_Neuron...11,Lisowski_Neuron...12,Susco_Neuron...13,Susco_Neuron...14,Susco_Neuron...15,Susco_Neuron...16,Susco_Neuron...17,Rummel_Neuron
TSPAN6,4950,3663,5697,4924,5057,651,128,334,104,293,7,5,1,4,3,4,2,0,3,0,5,146,109,120,45,42,310,557,1214,1592,877,996,285,570,33,60,126,29
TNMD,153,421,292,639,589,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1,2,3,1,0,0,0,0,0,0,5
DPM1,1535,1150,1512,1249,1486,1576,208,356,185,411,1060,812,634,650,682,391,451,460,423,324,364,126,122,137,62,52,191,282,462,638,331,281,371,761,119,30,126,35
SCYL3,820,1157,1063,1829,726,519,120,121,82,111,621,547,513,593,594,155,163,177,181,103,192,42,52,62,18,31,93,123,159,200,90,80,367,592,56,57,165,25
FGR,5,13,3,18,5,4,600,2566,434,2374,3459,3426,1540,652,550,365,396,475,320,138,272,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
CFH,669,401,182,41,78,5,50,25,53,2,37,30,37,27,43,1,1,3,1,3,1,1,6,3,5,0,2,2,0,0,0,0,1,0,0,0,0,0
FUCA2,1309,1638,1966,2515,1689,1333,1395,2740,989,2552,6057,5183,4397,3676,3981,1471,1595,1567,1523,1082,1510,52,61,39,27,37,152,268,408,618,450,487,567,690,98,49,101,19
GCLC,1311,1450,1639,2114,1341,1713,2302,3719,2479,4137,3623,2810,3100,3406,3308,4492,4330,4760,3870,1678,3281,98,56,67,28,26,225,302,481,652,321,339,487,1085,134,42,166,43
NFYA,5754,2314,4927,3695,2957,2820,483,684,480,690,2258,1848,1604,1541,1655,575,642,631,686,292,550,114,74,99,14,14,430,610,1018,1448,1346,1557,906,1075,123,26,162,17
STPG1,201,286,352,676,385,266,24,38,22,46,72,48,50,58,73,6,5,11,7,6,13,73,55,54,50,70,2,5,13,14,7,3,164,223,55,16,130,26
NIPAL3,450,600,743,952,407,271,156,197,48,151,1121,961,984,823,1034,47,53,64,46,18,30,620,559,547,89,148,17,32,77,128,83,66,706,1018,149,80,172,296
LAS1L,3743,3537,5015,5387,3831,2928,489,757,290,764,1365,1130,962,706,728,273,298,298,256,167,246,177,163,127,29,60,376,451,549,827,355,435,465,1047,70,45,203,87
ENPP4,199,331,433,439,295,61,113,264,145,246,3,8,6,0,1,131,147,174,183,68,150,89,125,68,40,50,61,107,194,247,394,396,964,1440,205,93,320,105
SEMA3F,846,785,505,318,499,2439,3,1,1,0,3,2,1,0,1,0,0,0,0,0,0,55,50,25,19,24,33,37,198,326,35,20,162,300,19,24,40,38
CFTR,46,63,250,182,107,520,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,3,0,0,0,0,0,1,0,0,158,38,0,0,11,0
ANKIB1,3042,3661,3888,4791,2222,3429,656,808,561,757,1648,1236,1201,1224,1246,338,408,463,456,115,328,809,733,765,159,163,668,925,1068,1473,910,909,3290,5848,1011,408,1204,636
CYP51A1,172,78,144,255,192,1382,34,51,25,117,16825,12686,4606,1221,1097,2274,2481,2925,2476,1330,1988,1,2,0,2,10,16,12,23,28,13,16,18721,34596,5249,2242,7020,2
KRIT1,2776,3167,3287,4084,2159,1826,48,64,26,56,989,946,809,940,1012,251,270,294,283,108,265,88,79,47,33,49,340,550,734,1054,458,528,471,908,176,43,126,149
RAD52,871,594,1176,1453,711,801,113,125,100,124,215,237,205,214,286,71,74,72,75,20,69,41,28,43,4,6,114,161,164,230,209,259,239,424,32,15,41,54
BAD,1113,702,903,816,813,1103,160,280,178,193,572,653,617,695,612,46,52,63,60,40,57,263,233,280,146,188,63,55,37,50,20,23,581,1128,167,68,167,75
LAP3,2250,1503,2200,2034,1774,2330,1400,3525,1219,2530,6980,6119,4318,3211,3098,1677,1783,2125,1775,1361,1618,69,67,60,15,43,183,311,484,677,181,175,405,647,79,48,164,25
CD99,3640,2424,2584,2273,1626,4341,938,1460,767,908,3938,3133,2289,1872,1846,3322,3674,3933,4101,3575,3985,30,61,34,7,12,0,0,0,0,0,0,201,247,27,19,54,0
HS3ST1,362,226,212,91,76,44,187,630,100,542,808,819,1140,1329,1343,197,192,168,281,189,262,14,11,10,5,6,5,3,6,9,4,6,95,137,15,5,70,40
AOC1,8,1,0,2,1,3,25,38,29,59,681,663,742,768,784,23,27,25,16,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
WNT16,14,2,3,0,0,3,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,2,4,0,0,0,0,1,1,0,0,5,8,2,0,5,0
HECW1,160,474,529,462,148,66,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,686,626,664,96,122,183,216,168,225,81,82,3312,6597,592,254,922,399
MAD1L1,4551,5352,7188,10675,8548,5459,7,19,18,7,1809,1800,1579,1413,1471,456,343,560,548,453,552,0,1,0,45,56,101,103,193,253,125,116,223,525,99,25,46,49
LASP1,7148,4297,5599,7623,5340,12899,7500,12028,5162,11603,29356,25943,23547,20827,20489,7590,6075,8231,8036,3597,6687,89,126,86,1175,1430,568,856,1515,2251,1251,1174,2498,4359,527,316,882,37
