Gene_Name,BreitmeyerC1R1,BreitmeyerC1R2,BreitmeyerC1R3,BreitmeyerC2R1,BreitmeyerC2R2,BreitmeyerC2R3,GuaquetaR1,GuaquetaR2,GuaquetaR3,GuaquetaR4,Hammonds1,Hammonds2,Hammonds3,Hammonds4,Hammonds5,Penney1,Penney2,Penney3,Penney4,Penney5,Penney6
TSPAN6,4950,3663,5697,4924,5057,651,128,334,104,293,7,5,1,4,3,4,2,0,3,0,5
TNMD,153,421,292,639,589,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPM1,1535,1150,1512,1249,1486,1576,208,356,185,411,1060,812,634,650,682,391,451,460,423,324,364
SCYL3,820,1157,1063,1829,726,519,120,121,82,111,621,547,513,593,594,155,163,177,181,103,192
FGR,5,13,3,18,5,4,600,2566,434,2374,3459,3426,1540,652,550,365,396,475,320,138,272
CFH,669,401,182,41,78,5,50,25,53,2,37,30,37,27,43,1,1,3,1,3,1
FUCA2,1309,1638,1966,2515,1689,1333,1395,2740,989,2552,6057,5183,4397,3676,3981,1471,1595,1567,1523,1082,1510
GCLC,1311,1450,1639,2114,1341,1713,2302,3719,2479,4137,3623,2810,3100,3406,3308,4492,4330,4760,3870,1678,3281
NFYA,5754,2314,4927,3695,2957,2820,483,684,480,690,2258,1848,1604,1541,1655,575,642,631,686,292,550
STPG1,201,286,352,676,385,266,24,38,22,46,72,48,50,58,73,6,5,11,7,6,13
NIPAL3,450,600,743,952,407,271,156,197,48,151,1121,961,984,823,1034,47,53,64,46,18,30
LAS1L,3743,3537,5015,5387,3831,2928,489,757,290,764,1365,1130,962,706,728,273,298,298,256,167,246
ENPP4,199,331,433,439,295,61,113,264,145,246,3,8,6,0,1,131,147,174,183,68,150
SEMA3F,846,785,505,318,499,2439,3,1,1,0,3,2,1,0,1,0,0,0,0,0,0
CFTR,46,63,250,182,107,520,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ANKIB1,3042,3661,3888,4791,2222,3429,656,808,561,757,1648,1236,1201,1224,1246,338,408,463,456,115,328
CYP51A1,172,78,144,255,192,1382,34,51,25,117,16825,12686,4606,1221,1097,2274,2481,2925,2476,1330,1988
KRIT1,2776,3167,3287,4084,2159,1826,48,64,26,56,989,946,809,940,1012,251,270,294,283,108,265
RAD52,871,594,1176,1453,711,801,113,125,100,124,215,237,205,214,286,71,74,72,75,20,69
BAD,1113,702,903,816,813,1103,160,280,178,193,572,653,617,695,612,46,52,63,60,40,57
LAP3,2250,1503,2200,2034,1774,2330,1400,3525,1219,2530,6980,6119,4318,3211,3098,1677,1783,2125,1775,1361,1618
CD99,3640,2424,2584,2273,1626,4341,938,1460,767,908,3938,3133,2289,1872,1846,3322,3674,3933,4101,3575,3985
HS3ST1,362,226,212,91,76,44,187,630,100,542,808,819,1140,1329,1343,197,192,168,281,189,262
AOC1,8,1,0,2,1,3,25,38,29,59,681,663,742,768,784,23,27,25,16,0,9
WNT16,14,2,3,0,0,3,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1
HECW1,160,474,529,462,148,66,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MAD1L1,4551,5352,7188,10675,8548,5459,7,19,18,7,1809,1800,1579,1413,1471,456,343,560,548,453,552
