Gene_Name,Ramadoss_Neuron,Ramadoss_Neuron,Ramadoss_Neuron,Tian_Neuron,Tian_Neuron,Lisowski_Neuron,Lisowski_Neuron,Lisowski_Neuron,Lisowski_Neuron,Lisowski_Neuron,Lisowski_Neuron,Susco_Neuron,Susco_Neuron,Susco_Neuron,Susco_Neuron,Susco_Neuron,Rummel_Neuron
A1BG,30,16,28,0,16,18,24,11,8,9,19,116,208,54,3,25,15
A1CF,4,1,0,1,0,0,0,0,0,0,0,10,14,0,0,0,0
A2M,11,9,3,3,0,2,0,16,30,9,11,6977,12532,1859,740,2140,50
A2ML1,5,4,3,0,0,0,0,0,0,0,0,23,18,0,4,0,2
A2MP1,0,4,7,0,0,1,0,0,0,0,0,5,0,0,0,2,11
A3GALT2,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0
A4GALT,28,19,11,5,22,1,3,6,11,1,1,495,1004,136,80,144,138
A4GNT,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
AAAS,111,130,95,12,15,202,295,487,603,279,334,417,679,80,36,134,94
AACS,221,298,234,97,182,247,304,307,398,348,366,990,1665,242,78,331,197
AACSP1,2,0,0,6,5,0,1,3,5,42,51,14,12,25,2,7,0
AADAC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAT,115,109,86,24,33,224,313,311,379,114,170,457,884,201,34,152,80
AAED1,24,25,11,0,3,46,53,101,128,106,78,156,254,57,19,47,16
AAGAB,1188,1290,1224,733,863,499,699,1254,1733,931,1058,1664,3449,596,206,508,322
AAK1,970,746,812,169,328,1445,1854,1643,2272,1073,1118,3182,3002,399,155,484,596
AAMDC,2,5,11,5,3,42,73,73,123,24,24,39,54,6,7,11,7
AAMP,884,729,740,373,478,403,561,612,926,520,526,964,1727,320,102,294,524
AANAT,1,2,6,0,0,0,0,1,2,1,1,0,0,0,0,0,0
AAR2,246,243,280,56,82,134,234,314,438,268,256,637,1000,154,63,139,94
AARD,16,12,11,0,3,0,1,2,2,2,1,21,60,0,5,3,11
AARS,544,506,564,110,118,972,1340,2564,4096,2425,2261,2571,4286,604,257,828,376
AARS2,72,58,92,2,9,191,198,296,429,139,181,555,811,142,53,128,39
AARSD1,3,14,7,0,3,15,23,17,27,27,45,626,906,74,38,166,11
AARSP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AASDH,133,139,92,33,33,142,215,383,522,316,320,295,563,114,39,85,124
AASDHPPT,1743,1513,1446,588,605,1139,1731,1857,2369,932,1050,6536,11473,1999,823,2453,716
AASS,41,20,30,11,5,610,812,1017,1311,545,654,436,637,137,52,107,8
AATF,148,182,112,39,59,202,287,448,672,348,329,513,889,118,34,147,68
AATK,25,14,35,136,170,53,61,39,63,27,29,180,397,123,12,220,0
ABAT,420,462,398,73,112,1656,2520,3304,4926,1335,1494,1098,1592,268,99,327,332
ABCA1,111,105,102,32,31,446,627,2037,2888,1552,2043,5458,8596,1688,524,1553,55
ABCA10,19,13,9,5,0,8,5,3,6,4,2,207,201,19,12,85,31
ABCA11P,8,16,11,3,1,22,18,18,27,10,12,108,131,6,10,27,3
ABCA12,2,3,0,0,0,4,4,4,13,0,1,48,48,12,2,8,4
ABCA13,0,0,1,0,0,13,25,13,22,25,31,90,44,11,0,17,0
ABCA17P,2,11,4,2,2,0,0,0,1,5,2,65,127,2,0,15,5
ABCA2,121,120,111,12,18,337,316,297,468,267,335,980,2087,249,208,191,64
ABCA3,467,572,496,124,144,378,403,496,691,268,319,4598,6258,1358,343,1604,274
ABCA4,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
ABCA5,305,280,278,88,122,283,386,499,672,508,586,1553,2083,248,162,519,477
ABCA6,7,10,4,8,4,4,3,1,0,3,1,114,255,66,6,38,20
ABCA7,99,79,82,25,36,62,55,29,51,17,22,1557,1344,276,74,376,76
ABCA8,3,1,0,0,0,22,24,89,110,70,112,7,13,0,2,0,2
ABCA9,19,10,6,9,0,3,4,1,4,0,1,265,158,70,33,10,15
ABCB1,5,7,4,1,1,3,2,6,10,0,1,25,22,66,0,17,5
ABCB10,52,66,51,14,15,110,199,182,249,149,118,751,1109,206,85,203,25
ABCB10P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB10P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB11,0,3,0,0,0,3,2,0,1,0,0,197,141,47,2,28,0
ABCB4,0,0,2,0,0,8,10,16,20,6,5,3,47,0,0,0,2
ABCB5,0,0,0,0,0,0,0,0,0,1,0,32,46,0,0,1,0
ABCB6,1,4,0,0,0,7,24,3,13,4,14,383,409,44,46,139,1
ABCB7,170,129,148,23,31,190,299,515,711,310,379,334,747,155,41,225,96
ABCB8,78,43,69,6,21,85,81,87,111,40,43,577,943,70,16,134,44
ABCB9,143,129,105,149,152,67,78,63,96,65,70,316,570,83,22,75,110
ABCC1,22,26,10,7,17,398,553,830,1393,634,651,358,431,64,8,85,16
ABCC10,53,79,46,19,17,162,142,156,232,112,102,910,1259,144,84,227,15
ABCC11,1,3,0,0,0,4,5,8,5,2,9,8,72,0,0,0,1
ABCC12,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
ABCC13,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC2,2,3,0,2,0,3,10,5,7,12,6,8,33,0,0,0,1
ABCC3,3,0,0,0,0,0,1,0,3,2,3,10,29,7,0,3,0
ABCC4,53,61,63,9,11,261,408,544,775,279,278,507,474,26,37,216,30
ABCC5,590,670,655,97,158,385,486,409,562,279,379,2413,4152,449,259,770,397
ABCC6,2,6,2,0,0,3,2,17,16,1,1,46,7,0,0,0,7
ABCC6P1,0,0,0,0,0,0,3,1,4,0,1,0,0,0,0,0,0
ABCC6P2,0,0,0,0,0,1,1,2,3,0,1,0,0,0,0,0,0
ABCC8,83,66,74,7,0,107,114,63,103,123,128,286,785,133,43,117,55
ABCC9,0,0,0,0,0,11,13,98,103,6,15,938,1028,141,50,158,1
ABCD1,26,8,18,0,4,10,10,13,13,2,4,102,159,24,8,30,5
ABCD1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD1P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD1P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD1P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD2,24,13,22,1,8,41,49,98,124,30,53,425,618,88,31,150,31
ABCD3,262,206,159,133,138,484,666,886,1189,488,510,1347,2020,377,179,493,93
ABCD4,121,97,66,27,17,441,477,506,717,417,497,582,703,129,34,111,42
ABCE1,293,331,307,75,99,740,1220,1906,2639,1246,1156,2067,3247,569,253,522,237
ABCF1,639,575,613,162,172,474,664,1146,1609,731,745,165,105,17,86,73,649
