Gene_Name,Processed_Ramadoss_iPSC_1,Processed_Ramadoss_iPSC_2,Processed_Ramadoss_iPSC_3,Processed_Lisowski_iPSC1,Processed_Lisowski_iPSC2,Processed_Lisowski_iPSC3,Processed_Susco_iPSC_1,Processed_Susco_iPSC_2,Processed_Susco_iPSC_3,Processed_Susco_iPSC_4,Processed_Susco_iPSC_5
A1BG,0,0,0,4,4,15,254,132,134,188,245
A1CF,1,0,1,0,0,0,0,0,0,1,0
A2M,4,1,1,80,50,48,46,51,174,0,37
A2ML1,2,13,7,292,533,482,349,145,133,180,330
A2MP1,0,0,1,2,0,5,18,0,0,3,0
A3GALT2,0,0,0,0,0,0,0,0,0,0,0
A4GALT,23,42,40,98,60,84,55,42,139,76,74
A4GNT,0,0,0,0,0,0,0,0,0,0,0
AAAS,323,420,488,992,575,730,1157,595,720,802,917
AACS,334,440,416,1158,1004,1186,1030,900,787,877,724
AACSP1,0,0,0,114,123,158,25,34,4,11,12
AADAC,0,0,0,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0,0,0,0
AADACL3,2,0,0,18,40,33,13,0,28,6,10
AADACL4,0,0,0,0,0,0,0,0,0,0,0
AADACP1,0,0,0,0,0,0,0,0,0,0,0
AADAT,46,67,47,139,218,215,60,40,159,60,69
AAED1,57,87,61,159,153,175,156,143,458,136,255
AAGAB,1169,1005,950,664,913,748,772,638,988,699,842
AAK1,286,329,278,1361,1628,1641,740,689,856,526,473
AAMDC,22,41,41,182,170,135,179,168,127,201,182
AAMP,1679,1876,1267,945,793,911,1430,644,1139,857,1406
AANAT,0,0,1,2,1,2,10,0,0,6,0
AAR2,334,357,354,524,438,476,581,305,411,463,518
AARD,12,39,20,3,4,5,16,22,20,15,3
AARS,1173,1109,1128,7838,5868,6232,5015,3297,5130,4131,4234
AARS2,167,176,189,396,349,384,580,386,719,540,387
AARSD1,12,14,11,44,45,54,431,382,470,350,414
AARSP1,0,0,0,0,0,0,0,0,0,0,0
AASDH,152,170,213,433,393,346,1782,515,305,616,911
AASDHPPT,388,450,379,888,880,860,1669,919,1505,1160,1463
AASS,1245,1549,1375,2202,2831,2708,16551,7961,13938,12066,14292
AATF,602,642,572,897,874,807,653,396,0,530,577
AATK,1,0,0,17,6,5,95,116,48,77,31
ABAT,12,25,38,268,119,184,361,113,142,207,138
ABCA1,64,63,71,1312,1149,1148,92,159,123,92,116
